Title,Link
MLow: Meta's low bitrate audio codec (fb.com),https://engineering.fb.com/2024/06/13/web/mlow-metas-low-bitrate-audio-codec/
Mouth-based touchpad enables people living with paralysis to use computers (news.mit.edu),https://news.mit.edu/2024/mouth-based-touchpad-augmental-0605
"Show HN: Shpool, a Lightweight Tmux Alternative (github.com/shell-pool)",https://github.com/shell-pool/shpool
Scan HTML faster with SIMD instructions – Chrome edition (lemire.me),https://lemire.me/blog/2024/06/08/scan-html-faster-with-simd-instructions-chrome-edition/
How to untangle phone numbers (factbranch.com),https://factbranch.com/blog/2024/normalize-phone-numbers/
"Skio (Subscriptions for Shopify, ReCharge migrations) is hiring (skio.com)",https://skio.com/careers/
Progressive Web Apps (PWAs) Phishing (mrd0x.com),https://mrd0x.com/progressive-web-apps-pwa-phishing/
Solving Probabilistic Tic-Tac-Toe (louisabraham.github.io),https://louisabraham.github.io/articles/probabilistic-tic-tac-toe
Drawing Machines (drawingmachines.org),https://drawingmachines.org/
Textile-based electrochemical sensors (medhir.com),https://medhir.com/blog/textile-based-electrochemical-sensors
Borges on Chaos Theory (aethermug.com),https://aethermug.com/posts/borges-on-chaos-theory
An Empirical Study of Mamba-Based Language Models (arxiv.org),https://arxiv.org/abs/2406.07887
AMD CEO Lisa Su reminisces about designing the PS3's infamous Cell processor (tomshardware.com),https://www.tomshardware.com/tech-industry/amd-ceo-lisa-su-reminisces-on-helping-design-the-ps3s-infamous-cell-processor-at-ibm
SSH agent extensions as an arbitrary RPC mechanism (mjg59.dreamwidth.org),https://mjg59.dreamwidth.org/69646.html
Potential ozone depletion from satellite demise during atmospheric reentry (wiley.com),https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2024GL109280
Indian startup 3D prints rocket engine in 72 hours (ieee.org),https://spectrum.ieee.org/3d-printed-rocket
U.S.-Saudi petrodollar pact ends after 50 years (nasdaq.com),https://www.nasdaq.com/articles/us-saudi-petrodollar-pact-ends-after-50-years
Group chats rule the world (sriramk.com),https://sriramk.com/group-chats-rule-the-world
Ted Chiang has won the PEN/Faulkner Foundation's short story prize (lithub.com),https://lithub.com/ted-chiang-has-won-the-pen-faulkner-foundations-short-story-prize/
"Microsoft Chose Profit over Security, Whistleblower Says (propublica.org)",https://www.propublica.org/article/microsoft-solarwinds-golden-saml-data-breach-russian-hackers
The Art of the Epigraph (themillions.com),https://themillions.com/2014/06/the-art-of-the-epigraph.html
"Bibliography keys: It's as easy as [1], [2], [3] (cr.yp.to)",http://blog.cr.yp.to/20240612-bibkeys.html
IntelliJ GitHub Plugin leaking credentials (jetbrains.com),https://blog.jetbrains.com/security/2024/06/updates-for-security-issue-affecting-intellij-based-ides-2023-1-and-github-plugin/
Luma AI Dream Machine (lumalabs.ai),https://lumalabs.ai/dream-machine
Taking away iPhone made daughter a better person (theguardian.com),https://www.theguardian.com/technology/article/2024/jun/13/kids-no-iphone-screen-time
Mushroom hunters can't stop finding mysterious fungi (nytimes.com),https://www.nytimes.com/2024/06/11/science/mushroom-hunters-dna.html
Pay $1 to Hear Wu-Tang Clan’s Secret Album (Eventually) (nytimes.com),https://www.nytimes.com/2024/06/13/arts/music/wu-tang-clan-once-upon-a-time-in-shaolin.html
Perspective-Correct Interpolation (andrewkchan.dev),https://andrewkchan.dev/posts/perspective-interpolation.html
European Content Removal Laws Scrub the Internet of Legal Content (techdirt.com),https://www.techdirt.com/2024/06/13/european-content-removal-laws-are-scrubbing-the-internet-of-completely-legal-content/
Please maintain eye contact for the duration of the ad (twitter.com/soren_iverson),https://twitter.com/soren_iverson/status/1801253187602788424
"The ""uncanny"" is the experience of a loss of control (ykulbashian.medium.com)",https://ykulbashian.medium.com/the-uncanny-is-the-experience-of-a-loss-of-control-06a3fb4dbcd1
Postgres 17: Streaming I/O for sequential scans and ANALYZE (pganalyze.com),https://pganalyze.com/blog/5mins-postgres-17-streaming-io
Boeing's Starliner Now Has 5 Leaks While Parked Outside the ISS (gizmodo.com),https://gizmodo.com/boeing-starliner-spacecraft-fifth-helium-leak-iss-nasa-1851534977
Diminuendo Lagrimoso: Tracing the decline of big opera voices (2023) [pdf] (princeton.edu),https://www.princeton.edu/~amoravcs/library/Diminuedo%20Lagrimoso.pdf
Phishing scammers impersonate AH employee to drain crypto wallets (web3isgoinggreat.com),https://www.web3isgoinggreat.com/single/andreessen-horowitz-phishing
Uncensor any LLM with abliteration (huggingface.co),https://huggingface.co/blog/mlabonne/abliteration
Wells Fargo fires workers for 'simulating' being at their keyboards (ft.com),https://www.ft.com/content/5c156bcf-9eeb-4ab1-aeff-5bd6291a8851
Show HN: Automated red teaming for your LLM app (promptfoo.dev),https://www.promptfoo.dev/docs/red-team/
Why not just embed Neovim? (zed.dev),https://zed.dev/blog/zed-decoded-vim
